Date,Time,Lat,Lang,Depth(KM),Magnitude,Region
01/07/2012,04:13:52,25.7°N,94.6°E,50,5.8,"PHEK,NAGALAND"
02/07/2012,10:07:12,28.6°N,76.3°E,07,3.3,"BHIWANI,HARYANA"
03/07/2012,10:36:16,40.0°S,173.7°E,240,6.2,"COOK STRAIT, NEW ZEALAND"
05/07/2012,09:29:33,25.7°N,94.2°E,20,3.1,NAGALAND
06/07/2012,02:28:23,14.6°S,167.2°E,170,6.3,VANATU
09/07/2012,20:13:08,25.5°N,96.3°E,10,5.2,MYANMAR
10/07/2012,13:03:41,26.5°N,93.2°E,56,4.5,"KARBI ANGLONG, ASSAM"
10/07/2012,15:53:57,25.7°N,91.7°E,5,3.5,"WEST KHASI HILLS, MEGHALAYA"
11/07/2012,17:23:26,29.5°N,81.3°E,10,4.4,WESTERN NEPA
12/07/2012,14:00:32,36.5°N,70.9°E,170,6.3,"HINDUKUSH REGION ,AFGHANISTAN"
12/07/2012,14:44:53,36.5°N,71.1°E,126,5.1,"HINDUKUSH REGION ,AFGHANISTAN"
14/07/2012,19:55:18,25.5°N,94.2°E,35,5.5,"KOHIMA,NAGALAND"
19/07/2012,07:36:34,37.3°N,71.4°E,92,5.6,AFGHANISTAN-TAJIKISTAN BORDER REGION
20/07/2012,06:10:26,49.5°N,156.0°E,25,6.1,KURIL ISLANDS
20/07.2012,06:33:00,49.4°N,156.2°E,36,6.2,KURIL ISLANDS
22/07/2012,02:11:10,25.1°N,96.3°E,10,5.2,MYANMAR
25/07/2012,00:27:48,02.7°N,96.1°E,45,6.4,"NORTHERN SUMATRA, INDONESIA"
25/07/2012,11:20:31,09.6°S,159.7°E,15,6.5,SOLOMON ISLANDS
26/07/2012,01:06:31,38.3°N,74.0°E,125,5.5,TAJIKISTAN
26/07/2012,05:31:36,33.2°N,76.3°E,05,3.8,J&K ---HIMACHAL BORDER REGION
26/07/2012,05:33:36,17.6°S,66.2°E,26,6.5,MAURITIUS-REUNION REGION
28/07/2012,05:48:06,29.7°N,80.7°E,10,4.5,NEPAL -INDIA (UTTRAKHAND)_BORDER REGION
28/07/2012,20:03:58,04.6°S,153.0°E,40,6.5,"NEW IRELAND REGION, P.N.G"
29/07/2012,02:21:12,23.0°N,94.2°E,70,6.0,MYANMAR
02/08/2012,09:38:32,08.4°S,74.3°W,156,6.0,CENTRAL  PERU
02/08/2012,09:56:44,04.7°S,153.1°E,56,6.1,"NEW IRELAND REGION, P.N.G"
05/08/2012,06:36:49,24.8°N,91.8°E,19,4.3,INDIA - BANGLADESH BORDER REGION
06/08/2012,18:29:45,32.8°N,76.4°E,10,3.2,"LAHUL & SPITI,HIMACHAL PRADESH"
09/08/2012,04:08:51,26.2°N,93.6°E,26,3.1,"KARBI ANGLONG, ASSAM"
09/08/2012,13:12:05,28.4°N,86.7°E,10,4.8,TIBET
10/08/2012,04:41:46,01.9°N,97.1°E,10,5.3,"NORTHERN SUMATRA, INDONESIA"
10/08/2012,18:37:44,52.8°N,167.5°W,30,6.2,"FOX ISLANDS , ALEUTIAN ISLANDS, ALASKA"
11/08/2012,12:23;17,38.4°N,46.7°E,10,6.2,NORTHWESTERN IRAN
11/08/2012,12:34:35,38.4°N,46.5°E,10,6.4,NORTHWESTERN IRAN
12/08/2012,10:47:08,35.8°N,82.6°E,10,6.2,"XIZANG, CHINA"
13/08/2012,20:32:59,34.8°N,73.7°E,30,5.2,INDIA (J&K)-PAKISTAN BORDER REGION
14/08/2012,02:59:37,49.8°N,145.2°E,570,7.2,SEA OF OKHOTSK
14/08/2012,15:17:01,26.4°N,93.1°E,42,3.2,"KARBI ANGLONG, ASSAM"
18/08/2012,09:41:53,01.3°S,120.0°E,10,6.2,"SULAWESI,INDONESIA"
19/08/2012,01:57:05,05.1°N,94.8°E,30,5.1,"NORTHERN SUMATRA, INDONESIA"
19/08/2012,09:24:49,26.7°N,92.5°E,35,5.0,"TEZPUR, ASSAM"
19/08/2012,19:04:56,26.7°N,92.6°E,40,4.0,"SONITPUR, ASSAM"
19/08/2012,22:41:49,04.8°S,144.6°E,70,6.2,PAPUA NEW GUINEA
20/08/2012,11:18:28,03.4°N,92.9°E,21,5.2,OFF WEST  COAST OF NORTHERN SUMATRA
23/08/2012,16:30:19,28.4°N,82.7°E,10,5.0,NEPAL
26/08/2012,15:05:33,02.2°N,126.8°E,76,6.5,MOLUCCA SEA
27/08/2012,04:37:20,12.3°N,88.5°W,50,7.2,OFF SHORE  EL  SALVADORE
27/08/2012,09:01:24,02.5°N,99.0°E,155,5.3,"NORTHERN SUMATRA, INDONESIA"
27/08/2012,12:05:23,10.3°N,92.8°E,48,5.0,OFF EAST COAST OF LITTLE ANDAMAN
28/08/2012,15:51:06,04.5°N,93.0°E,10,5.6,OFF WEST COAST OF NORTHERN SUMATRA
30/08/2012,13:43:29,71.3°N,10.8°W,25,6.6,JAN MAYEN ISLAND REGION
31/08/2012,03:43:36,20.8°N,85.0°E,20,3.7,"DISTT ANUGUL, ODISHA"
31/08/2012,12:47:32,10.9°N,126.8°E,35,7.7,PHILIPPINE ISLANDS REGION
03/09/2012,18:23:05,10.8°S,113.9°E,10,6.4,"SOUTH OF JAVA, INDONESIA"
04/09/2012,07:42:35,26.3°N,92.5°E,20,3.1,"DISTT. MARIGAON, ASSAM"
05/09/2012,13:09:12,12.5°S,166.3°E,36,6.0,SANTA CRUZ ISLANDS
05/09/2012,14:42:10,10.0°N,85.5°W,33,7.6,COSTA RICA
06/09/2012,18:27:09,25.7°N,91.1°E,10,4.2,"WEST KHASI HILLS, MEGHALAYA"
08/09/2012,07:18:16,06.6°N,95.5°E,230,5.0,ANDAMAN SEA
08/09/2012,10:51:44,03.2°S,135.0°E,20,6.0,"PAPUA, INDONESIA"
10/09/2012,06:19:22,13.6°N,92.7°E,45,5.0,ANDAMAN ISLANDS
10/09/2012,14:35:45,10.7°N,93.8°E,40,5.2,ANDAMAN  SEA
10/09/2012,15:43:07,17.4°N,73.5°E,10,3.2,"KOYNA REGION, MAHARASHTRA"
10/09/2012,18:52:17,10.7°N,93.7°E,35,4.5,ANDAMAN SEA
11/09/2012,11:09:50,23.9°N,94.0°E,10,4.0,INDIA(MANIPUR)-MYANMAR BORDER REGION
11/09/2012,18:09:48,24.6°N,93.7°E,33,3.7,MANIPUR
12/09/2012,19:29:54,36.7°N,71.4°E,175,5.2,"HINDU KUSH REGION, AFGHANISTAN"
14/09/2012,04:51:50,03.1°S,100.8°E,42,6.2,"SOUTHERN SUMATRA, INDONESIA"
16/09/2012,19:29:06,28.9°N,77.4°E,24,3.4,"BAGHPAT, UTTAR PRADESH"
18/09/2012,12:26:21,27.4°N,88.5°E,10,4.1,SIKKIM
18/09/2012,23:12:52,26.4°N,93.3°E,45,3.5,"KARBI ANGLONG (DIPHU), ASSAM"
20/09/2012,20:47:44,00.0°N,99.0°E,40,5.3,"NORTHERN SUMATRA, INDONESIA"
21/09/2012,14:20:42,26.2°N,95.2°E,96,4.1,MYANMAR-INDIA ( NAGALAND) BORDER REGION
25/09/2012,08:33:02,36.5°N,69.2°E,54,5.3,"HINDU KUSH REGION,  AFGHANISTAN"
25/09/2012,23:45:29,24.9°N,110.0°W,55,6.3,GULF OF CALIFORNIA
26/09/2012,23:39:57,51.6°N,178.2°W,30,6.8,"ALEUTIAN ISLANDS, ALASKA"
27/09/2012,23:53:55,08.8°S,157.1°E,36,6.0,SOLOMON ISLANDS
29/09/2012,11:24:29,06.2°N,92.8°E,15,5.5,NICOBAR ISLANDS
30/09/2012,16:31:32,02.0°N,76.3°W,130,7.3,COLOMBIA
01/10/2012,22:21:48,39.8°N,143.1°E,34,6.2,"OFF EAST COAST OF HONSHU, JAPAN"
02/10/2012,03:45:28,32.4°N,76.4°E,10,4.5,DISTT.(CHAMBA-LAHUL-SPITI BORDER REGION) H.P
02/10/2012,08:34:52,32.4°N,76.3°E,10,4.9,"DISTT( CHAMBA--LAHUL SPITI) ,HIMACHAL PRADESH"
02/10/2012,18:37:39,26.9°N,92.8°E,35,5.1,"SONITPUR, ASSAM"
03/10/2012,10:04:34,32.4°N,76.3°E,05,3.8,DIST( CHAMBA-LAHUL SPITI BORDER REGION) HIMACHAL PRADESH
03/10/2012,10:49:28,32.4°N,76.3°E,10,3.6,DISTT( CHAMBA-LAHUL SPITI BORDER REGION) HIMACHAL PRADESH
04/10/2012,15:00:44,32.4°N,76.3°E,05,3.0,"DHARMSHALA, H.P"
08/10/2012,06:26:25,25.3°N,109.2°W,16,6.1,GULF OF CALIFORNIA
08/10/2012,11:43:31,04.5°S,129.1°E,10,6.4,BANDA SEA
08/10/2012,17:46:21,32.0°N,78.6°E,10,4.7,INDIA ( H.P ) - TIBET BORDER REGION
09/10/2012,12:32:27,58.3°S,152.4°E,19,6.2,BALLENY ISLANDS REGION
11/10/2012,13:21:06,32.2°N,77.7°E,10,3.5,"DISTT LAHUL & SPITI, BORDER REGION, H.P."
11/10/2012,13:56:04,28.0°N,88.2°E,15,3.3,INDIA (SIKKIM) - TIBET BORDER REGION
11/10/2012,17:07:53,01.5°N,92.6°E,20,5.4,OFF  WEST COAST OF NORTHERN SUMATRA
11/10/2012,23:54:27,34.1°N,73.5°E,10,4.5,PAKISTAN - INDIA ( J&K ) BORDER
12/10/2012,00:31:28,04.9°S,134.0°E,10,6.7,KEPULAUAN ARU REGION INDONESIA
12/10/2012,23:16:15,24.7°N,93.6°E,10,4.2,"TAMENGLONG,  MANIPUR"
13/10/2012,09:05:09,27.0°N,92.7°E,20,3.7,"SONITPUR, ASSAM"
14/10/2012,08:51:54,12.6°N,75.6°E,05,3.9,"DAKSHIN KANNAD, KARNATAKA"
15/10/2012,23:43:45,35.9°N,69.6°E,100,5.2,"HINDUKUSH REGION,AFGHANISTAN"
16/10/2012,12:53:39,25.7°N,91.0°E,05,3.2,"WEST KHASI HILLS, MEGHALAYA"
17/10/2012,04:42:32,04.3°N,124.6°E,338,6.0,CELEBES SEA
17/10/2012,19:39:02,02.2°N,97.6°E,28,5.0,"NORTH ERN SUMATRA, INDONESIA"
17/10/2012,21:13:52,24.1°N,94.2°E,10,3.5,"MANIPUR,CHANDEL"
18/10/2012,02:33:27,23.8°N,81.4°E,27,5.0,"DISTT. - SHAHDOL, MADHYA PRADESH"
18/10/2012,05:32:18,25.7°N,91.8°E,10,3.2,"DISTT WEST KHASI HILLS, MEGHALAYA"
20/10/2012,01:31:55,24.1°N,94.2°E,98,3.7,"DISTT CHANDEL,MANIPUR"
20/10/2012,23:00:30,13.4°S,166.6°E,50,6.5,VANUATU ISLANDS
21/10/2012,07:54:47,13.9°N,96.1°E,20,4.7,ANDAMAN SEA
22/10/2012,06:56:51,28.0°N,87.8°E,68,3.9,NEPAL-INDIA (SIKKIM) BORDER REGION
22/10/2012,15:43:50,24.8°N,94.1°E,79,3.5,"IMPHAL-SENAPATI BORDER REGION, MANIPUR"
23/10/2012,08:53:39,29.1°N,139.3°E,440,6.0,"IZU ISLANDS, JAPAN REGION"
23/10/2012,09:39:31,22.3°S,171.7°E,129,6.1,SOUTHEAST OF LOYALITY ISLANDS
24/10/2012,00:45:39,10.0°N,85.5°W,70,6.3,COSTA RICA
24/10/2012,21:07:43,28.8°N,94.2°E,80,4.0,"WEST SIANG,  ARUNACHAL PRADESH"
26/10/2012,01:50:25,24.1°N,92.9°E,10,3.8,"AIZAWL, MIZORAM"
26/10/2012,04:10:52,30.2°N,79.6°E,05,3.5,"CHAMOLI DIST, UTTARANCHAL"
28/10/2012,03:04:17,52.9°N,132.0°W,76,7.7,QUEEN CHARLOTTE ISLANDS REGION
28/10/2012,03:08:49,10.4°N,92.4°E,10,5.3,"ANDAMAN ISLANDS , REGION"
28/10/2012,05:44:21,28.4°N,94.3°E,10,4.2,"WEST SIANG, ARUNACHAL PRADESH"
28/10/2012,12:11:15,36.5°N,71.2°E,201,5.2,HINDU KUSH REGION AFGHANISTAN
28/10/2012,18:54:21,52.6°N,132.6°W,10,6.3,QUEEN CHARLOTTE ISLANDS REGION
29/10/2012,02:22:46,00.9°N,93.4°E,60,5.3,"NORTHERN  SUMATRA, INDONESIA"
29/10/2012,06:23:06,16.2°N,79.7°E,10,3.9,"DIST. ,GUNTUR, ANDHRA PRADESH"
29/10/2012,00:34:56,25.7°N,91.8°E,05,3.4,"WEST KHASI HILLS, MEGHALAYA"
30/10/2012,01:40:24,26.2°N,92.4°E,15,3.9,"MARIGAON, ASSAM"
30/10/2012,02:49:01,52.4°N,131.7°W,10,6.2,QUEEN CHARLOTTE ISLANDS REGION
30/10/2012,13:52:57,22.7°N,77.5°E,10,2.9,"SEHORE - HOSHANGABAD BORDER REGION,  M.P"
30/10/2012,17:21:51,25.8°N,71.2°E,10,3.5,"BARMER, RAJASTHAN"
02/11/2012,18:17:35,09.3°N,126.2°E,45,6.3,"MINDANO, PHILIPPINES"
06/11/2012,06:17:37,10.0°N,57.2°E,33,5.8,CARLSBERG RIDGE
06/11/2012,12:21:12,32.3°N,76.2°E,05,4.1,"DISTTS(CHAMBA - KANGRA )BORDER REGION, HIMACHAL PRADESH"
07/11/2012,16:35:50,14.2°N,91.8°W,40,7.4,OFFSHORE GUATEMALA
08/11/2012,02:01:48,49.2°N,128.4°W,10,6.3,"VANCOUVER ISLAND, CANADA"
09/11/2012,05:44:34,36.9°N,73.5°E,10,4.3,INDIA (J&K) - PAKISTAN BORDER REGION
09/11/2012,19:59:50,01.0°N,97.5°E,25,5.3,"NORTHERN SUMATRA, INDONESIA"
11/11/2012,01:12:36,23.0°N,95.9°E,10,6.7,MYANMAR
11/11/2012,01:29:58,22.9°N,96.1°E,10,5.0,MYANMAR
11/11/2012,01:32:34,22.8°N,96.0°E,12,5.0,MYANMAR
11/11/2012,10:54:43,22.8°N,95.9°E,10,5.8,MYANMAR
11/11/2012,18:19:43,23.1°N,96.0°E,10,5.7,MYANMAR
11/11/2012,18:39:19,29.2°N,81.5°E,10,5.0,WESTERN  NEPAL
11/11/2012,20:23:12,32.3°N,76.2°E,05,4.0,"KANGRA,  HIMACHAL PRADESH"
11/11/2012,22:15:00,14.3°N,92.0°W,20,6.5,OFFSHORE GUATEMALA
12/11/2012,20:02:12,30.7°N,78.5°E,5,2.5,"DISTT. UTTARKASHI, UTTRAKHAND"
12/11/2012,20:42:15,57.8°N,142.7°W,10,6.2,GULF OF ALASKA
